time	Iq_measured	Iq_setpoint
0,001917	0,381030	2,430471
0,013450	1,280111	1,362700
0,026094	0,711866	0,724342
0,038497	0,498586	0,444622
0,051412	0,081714	0,266040
0,063501	0,447608	0,330147
0,075621	0,142346	0,214423
0,087719	0,451128	0,312028
0,099422	0,210937	0,194963
0,111375	0,322339	0,222586
0,123172	0,336366	0,221452
0,134923	0,225696	0,317545
0,146663	0,380563	0,264529
0,158455	0,101175	0,111661
0,170431	0,381122	0,258616
0,182169	0,401574	0,448628
0,193939	0,411350	0,272427
0,206241	0,180602	0,182399
0,218183	0,282678	0,177486
0,230175	0,136766	0,363342
0,242147	0,421205	0,306511
0,254151	0,043206	0,180982
0,265913	0,450123	0,270273
0,277573	0,243793	0,243557
0,290403	0,366437	0,278889
0,302508	-0,022298	0,189711
0,314651	0,274688	0,246071
0,326658	0,272693	0,304452
0,339306	0,599122	0,339783
0,351115	0,286904	0,253534
0,363168	0,099193	0,066563
0,375796	0,320169	0,368577
0,388040	0,333454	0,347529
0,400149	0,309319	0,318244
0,411727	0,122917	0,133427
0,423623	0,338633	0,340992
0,435673	0,215877	0,255612
0,447654	0,292500	0,135468
0,459856	-0,001731	0,250908
0,472514	0,391049	0,403795
0,484349	0,211200	0,376248
0,496562	0,189314	0,319889
0,508884	0,333044	0,194643
0,521308	0,089965	0,130783
0,533411	0,423363	0,343695
0,546125	0,198623	0,258939
0,559738	0,040663	0,104672
0,572340	0,265571	0,249737
0,584569	0,396094	0,408443
0,597330	0,235340	0,260185
0,609697	0,326123	0,167758
0,621915	0,116258	0,223305
0,633802	0,341920	0,288507
0,645867	0,144795	0,199518
0,657857	0,297952	0,223287
0,669939	0,076654	0,313919
0,681861	0,310636	0,285428
0,693865	0,186711	0,290095
0,705846	0,239306	0,107431
0,717832	0,044457	0,163829
0,729767	0,388653	0,312578
0,742059	0,288447	0,348098
0,754328	0,317508	0,229636
0,766241	0,199247	0,131427
0,778312	0,332874	0,376156
0,790687	0,365615	0,294384
0,803405	0,071819	0,295461
0,815567	0,158223	0,137700
0,828063	0,319951	0,409862
0,840573	0,248062	0,322403
0,853340	0,161232	0,136907
0,865278	0,200514	0,224346
0,877193	0,424921	0,227048
0,888961	0,118017	0,351236
0,900820	0,383666	0,232773
0,912797	0,160525	0,227313
0,924904	0,372435	0,223496
0,936888	0,206018	0,287527
0,948698	0,307015	0,231961
0,960624	0,085386	0,138306
0,972592	0,255991	0,344794
0,985907	0,643853	0,444193
0,998228	-0,003972	0,295331
1,010267	0,340150	0,172145
1,022569	0,119641	0,227616
1,034765	0,358171	0,292724
1,047301	0,228495	0,172617
1,059795	0,201490	0,287150
1,071978	0,448232	0,318268
1,084129	0,275214	0,411281
1,096240	0,483615	0,294859
1,108239	0,072950	0,170445
1,120288	0,128593	0,136455
1,132287	0,129440	0,347459
1,144404	0,530975	0,353241
1,156331	0,161233	0,172448
1,168751	0,191846	0,194383
1,181039	0,342698	0,410639
1,193352	0,225237	0,235703
1,205619	0,292441	0,145090
1,217995	-0,048422	0,167819
1,230191	0,054127	0,351030
1,242309	0,251397	0,292990
1,254919	0,053606	0,196746
1,267362	0,352084	0,285224
1,279647	0,125112	0,257489
1,291801	0,368339	0,322804
1,304491	0,178633	0,171316
1,316716	0,226569	0,166403
1,329049	0,392263	0,254353
1,341448	0,289169	0,349615
1,353821	0,368982	0,261778
1,365777	0,064772	0,103223
1,377773	0,411419	0,346592
1,389740	0,125030	0,294351
1,401668	0,354680	0,295296
1,413354	0,084899	0,169427
1,425249	0,521830	0,377124
1,436991	0,044935	0,260532
1,448727	0,330563	0,110063
1,460483	0,106104	0,256319
1,472241	0,488296	0,317950
1,483978	0,479307	0,349483
1,495867	0,369170	0,293785
1,508107	0,036864	0,108911
1,520234	0,227574	0,106134
1,531963	0,208879	0,286247
1,543765	0,403789	0,411984
1,555777	0,082887	0,231852
1,567500	0,311594	0,163382
1,579580	0,212401	0,347482
1,591631	0,421857	0,263235
1,603852	0,249364	0,295109
1,615611	0,157993	0,168125
1,627914	0,423196	0,379053
1,639893	0,402225	0,290839
1,651619	0,163738	0,107893
1,663367	0,278876	0,165235
1,675229	0,131990	0,257530
1,687001	0,526749	0,380584
1,698740	0,091393	0,262594
1,711402	0,133809	0,227659
1,723845	0,353424	0,163024
1,735642	0,277907	0,316214
1,747372	0,191880	0,291218
1,759233	0,199876	0,108403
1,771038	0,287550	0,253072
1,782745	0,410793	0,439533
